time;SrLT1;SrLT2;SrLT3;SrLT4
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
440.055;2.18155;0.954426;0.681733;0.272693
440.691;2.1784;0.953048;0.680749;0.272299
443.355;2.16531;0.947322;0.676659;0.270664
444.385;2.16029;0.945127;0.675091;0.270036
444.517;2.15965;0.944847;0.674891;0.269956
445.272;2.15598;0.943243;0.673745;0.269498
445.61;2.15435;0.942528;0.673235;0.269294
446.084;2.15206;0.941526;0.672519;0.269007
447.65;2.14453;0.938232;0.670166;0.268066
448.126;2.14226;0.937237;0.669455;0.267782
448.366;2.14111;0.936736;0.669097;0.267639
449.057;2.13781;0.935293;0.668066;0.267226
449.071;2.13774;0.935263;0.668045;0.267218
451.857;2.12457;0.929498;0.663927;0.265571
452.334;2.12233;0.928518;0.663227;0.265291
453.234;2.11811;0.926673;0.66191;0.264764
453.725;2.11582;0.925672;0.661194;0.264478
454.404;2.11266;0.924288;0.660206;0.264082
454.417;2.1126;0.924261;0.660187;0.264075
455.033;2.10974;0.923009;0.659292;0.263717
457.614;2.09784;0.917805;0.655575;0.26223
458.932;2.09181;0.915168;0.653692;0.261477
459.76;2.08805;0.91352;0.652515;0.261006
461.319;2.08099;0.910433;0.650309;0.260124
461.505;2.08015;0.910066;0.650047;0.260019
461.905;2.07835;0.909278;0.649484;0.259794
463.165;2.0727;0.906804;0.647717;0.259087
463.196;2.07256;0.906743;0.647674;0.25907
466.206;2.05918;0.900889;0.643492;0.257397
466.647;2.05723;0.900037;0.642884;0.257154
466.945;2.31291;0.899464;0.642474;0.25699
469.326;2.30117;0.894901;0.639215;0.255686
469.38;2.30091;0.894797;0.639141;0.255656
