time;kolejka pasazerow lotnisko;kolejka hotel1;kolejka hotel2;kolejka hotel3;kolejka hotel4;kolejka autobusow na lotnisku
275.674;299;1;0;2;5;0
275.704;310;1;0;2;5;0
278.652;310;1;0;2;2;0
280.503;310;1;0;0;2;0
281.012;310;1;0;0;2;0
281.577;310;1;0;0;3;0
284.092;310;1;0;0;4;0
286;310;1;0;0;0;0
286.108;320;1;0;0;0;0
287.411;320;1;0;0;1;0
289.451;331;1;0;0;1;0
289.866;331;1;0;0;1;0
289.894;341;1;0;0;1;0
294.142;326;1;0;0;1;0
294.621;326;1;0;0;0;0
296.149;338;1;0;0;0;0
296.611;338;1;0;0;0;0
297.205;338;1;0;1;0;0
298.706;338;2;0;1;0;0
299.23;338;2;0;2;0;0
300.706;323;2;0;2;0;0
301.011;335;2;0;2;0;0
301.34;347;2;0;2;0;0
301.451;347;2;0;3;0;0
301.787;358;2;0;3;0;0
304.713;358;2;1;3;0;0
305.778;358;2;2;3;0;0
306.46;358;2;2;3;0;0
308.449;358;0;2;3;0;0
308.901;358;1;2;3;0;0
309.919;343;1;2;3;0;0
311.007;352;1;2;3;0;0
311.893;352;1;2;3;1;0
312.461;352;1;2;3;0;0
313.051;352;1;2;3;1;0
313.864;361;1;2;3;1;0
315.494;361;1;3;3;1;0
317.097;361;0;3;3;1;0
317.28;361;0;3;3;2;0
317.837;371;0;3;3;2;0
318.623;371;0;3;4;2;0
320.205;371;0;4;4;2;0
320.362;371;0;4;5;2;0
320.563;371;1;4;5;2;0
320.661;371;1;4;5;3;0
321.149;371;1;4;6;3;0
321.211;371;1;4;6;4;0
322.71;371;1;4;6;5;0
322.93;381;1;4;6;5;0
322.983;381;1;4;7;5;0
323.149;381;1;4;8;5;0
323.412;366;1;4;8;5;0
323.492;366;1;4;9;5;0
324.228;366;1;4;10;5;0
324.256;366;1;2;10;5;0
325.208;366;1;2;10;6;0
325.545;366;0;2;10;6;0
327.303;366;0;2;10;7;0
329.946;351;0;2;10;7;0
330.485;351;0;0;10;7;0
331.895;351;0;0;11;7;0
332.957;351;0;0;11;8;0
334.063;351;0;0;11;9;0
335.476;363;0;0;11;9;0
336.051;363;0;0;12;9;0
337.622;363;0;0;12;10;0
337.715;363;0;0;12;10;0
339.368;363;0;0;12;10;0
339.951;375;0;0;12;10;0
340.46;375;0;0;9;10;0
342.903;375;0;0;9;11;0
343.063;384;0;0;9;11;0
343.193;384;0;0;9;12;0
343.728;384;0;0;9;12;0
343.794;384;0;0;9;13;0
344.399;384;0;0;9;14;0
344.516;397;0;0;9;14;0
344.521;397;0;0;9;15;0
345.052;408;0;0;9;15;0
346.745;408;0;0;3;15;0
347.709;408;0;0;4;15;0
348.663;418;0;0;4;15;0
349.695;418;0;0;5;15;0
351.17;418;0;0;5;15;0
354.255;418;0;0;6;15;0
354.358;427;0;0;6;15;0
354.981;427;1;0;6;15;0
355.14;427;1;0;6;7;0
355.18;427;1;0;0;7;0
355.411;437;1;0;0;7;0
358.016;437;1;0;0;7;0
358.281;437;1;0;0;8;0
360.811;437;1;1;0;8;0
361.606;437;1;1;0;2;0
362.492;437;1;2;0;2;0
362.868;437;2;2;0;2;0
363.146;437;3;2;0;2;0
363.515;437;4;2;0;2;0
364.254;437;4;2;0;3;0
366.716;437;4;2;0;3;0
369.44;437;4;2;1;3;0
369.493;422;4;2;1;3;0
370.999;433;4;2;1;3;0
371.306;433;4;2;2;3;0
371.709;433;4;2;2;0;0
371.733;433;4;2;0;0;0
374.311;433;4;2;1;0;0
374.759;433;4;2;2;0;0
376.892;418;4;2;2;0;0
376.973;418;4;2;3;0;0
379.881;418;4;2;3;0;0
381.881;418;4;3;3;0;0
382.326;418;4;3;3;1;0
